"철도운영기관명","선명","역명","지번주소","도로명주소","gu","dong","x","y"
"우이신설경전철","우이신설","북한산우이","서울특별시 강북구 우이동 16-20","서울특별시 강북구 삼양로 지하 676","강북구","우이동","127.012702176264","37.6629661525542"
"우이신설경전철","우이신설","솔밭공원","서울특별시 강북구 우이동 57-28","서울특별시 강북구 삼양로 595","강북구","우이동","127.013091650663","37.6561546882896"
"우이신설경전철","우이신설","4.19민주묘지","서울특별시 강북구 우이동 72-186","서울특별시 강북구 삼양로 519","강북구","우이동","127.013478245674","37.6494786329719"
"우이신설경전철","우이신설","가오리","서울특별시 강북구 수유동 338-46","서울특별시 강북구 삼양로 426","강북구","수유2동","127.016940435565","37.641713417798"
"우이신설경전철","우이신설","화계","서울특별시 강북구 수유동 472-677","서울특별시 강북구 삼양로 341","강북구","수유1동","127.0172978051","37.6339304770753"
"우이신설경전철","우이신설","삼양","서울특별시 강북구 미아동 791-4703","서울특별시 강북구 미아동 삼양로","강북구","삼양동","127.018154","37.6266863"
"우이신설경전철","우이신설","삼양사거리","서울특별시 강북구 미아동 745-142","서울특별시 강북구 삼양로 197","강북구","삼양동","127.020237295242","37.6214280999689"
"우이신설경전철","우이신설","솔샘","서울특별시 강북구 미아동 1353-20","서울특별시 강북구 솔샘로 지하 189","강북구","삼양동","127.013408969328","37.6202522935181"
"우이신설경전철","우이신설","북한산보국문","서울특별시 성북구 정릉동 286-19","서울특별시 성북구 보국문로 지하 88","성북구","정릉4동","127.008208009279","37.6121461272569"
"우이신설경전철","우이신설","정릉","서울특별시 성북구 정릉동 139-80","서울특별시 성북구 아리랑로 지하 122","성북구","정릉1동","127.013496185509","37.6026876819314"
"우이신설경전철","우이신설","성신여대입구","서울특별시 성북구 동선동4가 1번지","서울특별시 성북구 동소문로 102","성북구","삼선동","127.016477649743","37.5927179261346"
"우이신설경전철","우이신설","보문","서울특별시 성북구 보문동1가 127-1번지","서울 성북구 보문로 지하 116","성북구","보문동","127.019386983515","37.5853277238848"
"우이신설경전철","우이신설","신설동","서울특별시 동대문구 신설동 76-5","서울특별시 동대문구 왕산로 1","동대문구","용신동","127.024701893044","37.5753194830738"
