"name","gu","dong","long","lat"
"서초꽃마을1502","서초구","서초3동",127.007588286352,37.4896718430314
"어바니엘 위드 더 스타일 충정로","서대문구","충현동",126.962294567236,37.561349262277
"천호역 한강 리슈빌","강동구","천호2동",127.122366892471,37.53933797592
"용산베르디움","용산구","한강로동",126.971390317975,37.5353728707008
"동대문영하우스","종로구","숭인2동",127.020176019337,37.5736380961049
"U-삼진랜드","성동구","용답동",127.06510509799,37.5610138748446
"휘경제이스카이시티","동대문구","휘경1동",127.06073871978,37.5904970091382
"이랜드 신촌","마포구","서강동",126.931501495593,37.549876076523
"센터스퀘어등촌","강서구","염창동",126.86637042043,37.5507240312499
"더클래식동작","동작구","노량진2동",126.938558112383,37.5123712780376
"서교동 효성 해링턴 타워","마포구","서교동",126.9145769,37.5507547
"홍대 크리원","마포구","서강동",126.925334403464,37.545395275631
"제이스타상봉","중랑구","상봉2동",127.085175495361,37.5927094269561
"아임2030","강서구","등촌1동",126.864582249724,37.5517428243387
"보눔하우스 화곡","강서구","화곡1동",126.841412714943,37.5399035138497
NA,"마포구","서강동",126.925334403464,37.545395275631
NA,"영등포구","도림동",126.899239248155,37.5060207626053
NA,"강서구","화곡3동",126.835952204234,37.5462633212718
NA,"강동구","천호2동",127.122366892471,37.53933797592
NA,"강서구","등촌3동",126.84108376379,37.5591571211123
NA,"중랑구","상봉2동",127.085175495361,37.5927094269561
NA,"중랑구","묵1동",127.078476328538,37.6117504638428
NA,"광진구","구의3동",127.091772401851,37.5354345617617
NA,"노원구","공릉1동",127.075391585578,37.6194597084304
NA,"도봉구","쌍문3동",127.03260438774,37.645863305062
