"전철역명","호선","gu","dong","x","y"
"서울역","01호선","중구","회현동","126.972091251236","37.5559802396321"
"서울역","01호선","중구","회현동","126.972091251236","37.5559802396321"
"시청역","01호선","중구","소공동","126.977199342956","37.5653444955867"
"시청역","01호선","중구","소공동","126.977199342956","37.5653444955867"
"종각역","01호선","종로구","종로1.2.3.4가동","126.983151948921","37.5702288920691"
"종로3가역","01호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","01호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","01호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로5가역","01호선","종로구","종로5.6가동","127.001539477188","37.570976108369"
"동대문역","01호선","종로구","창신2동","127.010631546623","37.5716676040162"
"동대문역","01호선","종로구","창신2동","127.010631546623","37.5716676040162"
"신설동역","01호선","동대문구","용신동","127.024456700382","37.5760299683175"
"신설동역","01호선","동대문구","용신동","127.024456700382","37.5760299683175"
"제기동역","01호선","동대문구","용신동","127.034949495921","37.5781752985683"
"청량리역","01호선","동대문구","청량리동","127.044727231311","37.5800388582901"
"동묘앞역","01호선","종로구","숭인2동","127.016364227103","37.5732166600283"
"동묘앞역","01호선","종로구","숭인2동","127.016364227103","37.5732166600283"
"까치산역","02호선","강서구","화곡8동","126.846444264065","37.5322306724471"
"까치산역","02호선","강서구","화곡8동","126.846444264065","37.5322306724471"
"시청역","02호선","중구","소공동","126.977199342956","37.5653444955867"
"시청역","02호선","중구","소공동","126.977199342956","37.5653444955867"
"을지로입구역","02호선","중구","명동","126.982193047079","37.5660373193635"
"을지로3가역","02호선","중구","을지로동","126.9909855674","37.5662905969967"
"을지로3가역","02호선","중구","을지로동","126.9909855674","37.5662905969967"
"을지로4가역","02호선","중구","을지로동","126.997632059113","37.5666405038268"
"을지로4가역","02호선","중구","을지로동","126.997632059113","37.5666405038268"
"동대문역사문화공원","02호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","02호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","02호선","중구","광희동","127.009005301929","37.5656635044556"
"신당역","02호선","중구","황학동","127.019477533278","37.5656730531732"
"신당역","02호선","중구","황학동","127.019477533278","37.5656730531732"
"상왕십리역","02호선","성동구","왕십리도선동","127.029274674797","37.564438467635"
"왕십리역","02호선","성동구","행당1동","127.03710337610202","37.561268363317176"
"왕십리역","02호선","성동구","행당1동","127.03710337610202","37.561268363317176"
"한양대역","02호선","성동구","사근동","127.043639802768","37.5557159860408"
"뚝섬역","02호선","성동구","성수1가2동","127.04738727881","37.547241554679"
"성수역","02호선","성동구","성수2가3동","127.056066999327","37.5445888153751"
"건대입구역","02호선","광진구","자양4동","127.069202917341","37.5404084182632"
"건대입구역","02호선","광진구","자양4동","127.069202917341","37.5404084182632"
"구의역","02호선","광진구","구의1동","127.086180837795","37.5371752725594"
"강변역","02호선","광진구","구의3동","127.094741101863","37.5351180385975"
"잠실나루역","02호선","송파구","잠실6동","127.103808749487","37.5207124124456"
"잠실역","02호선","송파구","잠실6동","127.100228759082","37.513312862699"
"잠실역","02호선","송파구","잠실6동","127.100228759082","37.513312862699"
"삼성역","02호선","강남구","삼성1동","127.063025473533","37.5088227390184"
"강일역","05호선","강동구","강일동","127.175680183486","37.5574259795986"
"하남시청역","05호선","하남시","덕풍3동","127.206298162203","37.5419775122576"
"하남검단산역","05호선","하남시","천현동","127.223219337317","37.5398032640088"
"역삼","02호선","강남구","역삼1동","127.0368054","37.5007231"
"강남역","02호선","강남구","역삼1동","127.028000275071","37.4980854357918"
"교대역","02호선","서초구","서초1동","127.013867969161","37.4927431676548"
"교대역","02호선","서초구","서초1동","127.013867969161","37.4927431676548"
"방배역","02호선","서초구","방배3동","126.997553345516","37.4814561268152"
"사당역","02호선","동작구","사당1동","126.981558584016","37.4765604303289"
"사당역","02호선","동작구","사당1동","126.981558584016","37.4765604303289"
"낙성대역","02호선","관악구","인헌동","126.963523905001","37.4770932409965"
"서울대입구역","02호선","관악구","중앙동","126.952713197762","37.4812845080678"
"봉천역","02호선","관악구","은천동","126.941686527151","37.4824725161034"
"신림역","02호선","관악구","신림동","126.929745374123","37.4842680361482"
"신대방역","02호선","관악구","신사동","126.913509735491","37.4876522647152"
"구로디지털단지역","02호선","구로구","구로3동","126.901473080039","37.4852605752505"
"대림역","02호선","구로구","구로4동","126.894931036051","37.4933099444417"
"대림역","02호선","구로구","구로4동","126.894931036051","37.4933099444417"
"신도림역","02호선","구로구","신도림동","126.891312500851","37.508908482648"
"문래역","02호선","영등포구","문래동","126.894778820701","37.5179757181801"
"영등포구청역","02호선","영등포구","당산1동","126.89667739939","37.5258305311402"
"영등포구청역","02호선","영등포구","당산1동","126.89667739939","37.5258305311402"
"당산역","02호선","영등포구","당산2동","126.902611795523","37.5347843171332"
"합정역","02호선","마포구","서교동","126.914456329462","37.5499122605939"
"합정역","02호선","마포구","서교동","126.914456329462","37.5499122605939"
"고속터미널역","07호선","서초구","반포4동","127.00512100860232","37.5045470535618"
"고속터미널역","07호선","서초구","반포4동","127.00512100860232","37.5045470535618"
"신촌역","02호선","서대문구","신촌동","126.93698075917935","37.55519907036358"
"이대역","02호선","마포구","대흥동","126.946431808973","37.556814719896"
"아현역","02호선","서대문구","북아현동","126.95614644008904","37.55740617797663"
"충정로역","02호선","서대문구","충현동","126.964493206988","37.5597623875712"
"충정로역","02호선","서대문구","충현동","126.964493206988","37.5597623875712"
"용답역","02호선","성동구","용답동","127.050891808569","37.5621245777796"
"신답역","02호선","성동구","용답동","127.047080117369","37.5698386846442"
"신설동역","02호선","동대문구","용신동","127.024456700382","37.5760299683175"
"신설동역","02호선","동대문구","용신동","127.024456700382","37.5760299683175"
"도림천역","02호선","구로구","신도림동","126.882649092584","37.5145080414761"
"양천구청역","02호선","양천구","신정7동","126.865722369229","37.5123888716808"
"신정네거리역","02호선","양천구","신정1동","126.852889567642","37.5202231231721"
"용두역","02호선","동대문구","용신동","127.038275698211","37.5740621283646"
"지축역","03호선","고양시 덕양구","효자동","126.913854269202","37.6481486423031"
"구파발역","03호선","은평구","진관동","126.918852820009","37.6364357889145"
"연신내역","03호선","은평구","갈현1동","126.921100704496","37.6192032466353"
"연신내역","03호선","은평구","갈현1동","126.921100704496","37.6192032466353"
"내방역","07호선","서초구","방배1동","126.993600180589","37.4876585212369"
"이수역","07호선","서초구","방배4동","126.982211871752","37.4867995957995"
"남성역","07호선","동작구","사당3동","126.97091020065321","37.484793511299706"
"숭실대입구역","07호선","동작구","상도1동","126.953621963422","37.4963172817574"
"상도역","07호선","동작구","상도1동","126.947917975554","37.5028706251049"
"춘의역","07호선","부천시","부천동","126.786996627015","37.5036991939036"
"신중동역","07호선","부천시","신중동","126.776897204578","37.5029525402622"
"모란역","08호선","성남시 수정구","수진2동","127.129970457799","37.4340382896277"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","03호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"을지로3가역","03호선","중구","을지로동","126.9909855674","37.5662905969967"
"을지로3가역","03호선","중구","을지로동","126.9909855674","37.5662905969967"
"충무로역","03호선","중구","필동","126.994150735779","37.5613965840169"
"충무로역","03호선","중구","필동","126.994150735779","37.5613965840169"
"동대입구역","03호선","중구","장충동","127.005314877093","37.5590540173075"
"약수역","03호선","중구","약수동","127.010891666957","37.5545053994984"
"약수역","03호선","중구","약수동","127.010891666957","37.5545053994984"
"금호역","03호선","성동구","금호2.3가동","127.015829169834","37.5482627248715"
"옥수역","03호선","성동구","옥수동","127.017393782846","37.5415662783673"
"압구정역","03호선","강남구","압구정동","127.0285086593","37.5264921751712"
"신사역","03호선","강남구","논현1동","127.020310824772","37.5164350739218"
"잠원역","03호선","서초구","잠원동","127.011419491429","37.5128899169357"
"고속터미널역","03호선","서초구","반포4동","127.00512100860232","37.5045470535618"
"고속터미널역","03호선","서초구","반포4동","127.00512100860232","37.5045470535618"
