"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"종로구","사직동",496,741,721,720,2678,3574,47522,40,0,31,2827.08974358974,1101053
"종로구","삼청동",141,179,167,192,679,732,4601,22,0,15,3230,1101054
"종로구","부암동",618,722,603,636,2579,599,3454,34,1,34,1087.83333333333,1101055
"종로구","평창동",1161,1290,1027,1209,4687,761,3447,58,0,57,850.666666666667,1101056
"종로구","무악동",488,448,397,546,1879,647,1644,18,0,4,974.583333333333,1101057
"종로구","교남동",572,705,813,895,2985,413,4581,47,1,24,3646.55869565217,1101058
"종로구","가회동",224,271,250,322,1067,765,12817,11,0,22,2708.08333333333,1101060
"종로구","종로1.2.3.4가동",324,556,477,465,1822,15472,108747,36,1,72,551.238095238095,1101061
"종로구","종로5.6가동",392,688,427,283,1790,7238,24537,23,0,17,1236.78571428571,1101063
"종로구","이화동",595,1085,750,489,2919,1191,17244,32,2,22,1939.62345679012,1101064
"종로구","창신1동",273,336,284,255,1148,2179,5907,23,0,8,973.333333333333,1101067
"종로구","창신2동",532,634,479,415,2060,864,2216,37,0,6,2227.77777777778,1101068
"종로구","창신3동",442,524,462,499,1927,281,895,31,0,6,65.5555555555556,1101069
"종로구","숭인1동",356,452,388,438,1634,493,1545,30,0,8,1647.40740740741,1101070
"종로구","숭인2동",747,1345,900,661,3653,1747,6886,34,0,13,993.348333333333,1101071
"종로구","청운효자동",775,821,764,930,3290,1028,5656,38,1,26,1474.48717948718,1101072
"종로구","혜화동",2338,2145,1175,904,6562,1695,8747,51,0,32,1248.74380165289,1101073
"중구","소공동",81,138,195,224,638,3849,64144,15,0,28,633.888888888889,1102052
"중구","회현동",201,310,271,266,1048,8566,45216,18,0,38,883.095238095238,1102054
"중구","명동",132,225,194,193,744,6965,110390,8,0,30,1038.96296296296,1102055
"중구","필동",361,365,326,296,1348,2886,22404,23,2,13,1069.34920634921,1102057
"중구","장충동",671,585,359,305,1920,819,9181,11,0,12,1350.42916666667,1102058
"중구","광희동",347,549,456,363,1715,8472,36451,29,0,26,754.39898989899,1102059
"중구","을지로동",55,135,177,124,491,8812,35333,13,0,24,911.5625,1102060
"중구","신당5동",667,1009,924,823,3423,1193,4057,75,0,9,1237.37777777778,1102065
"중구","황학동",709,1379,1465,1338,4891,1947,5643,104,0,11,1254.38439716312,1102067
"중구","중림동",624,829,1019,1240,3712,1016,7530,76,0,11,879.228571428572,1102068
"중구","신당동",477,890,691,617,2675,11459,29891,63,0,8,1028.54848484849,1102069
"중구","다산동",990,1387,1176,1085,4638,1424,9742,76,0,7,1478.83,1102070
"중구","약수동",885,1137,1093,1331,4446,833,4122,47,0,17,1163.51960784314,1102071
"중구","청구동",828,1186,1159,1053,4226,881,4419,63,0,6,1780.25396825397,1102072
"중구","동화동",626,808,626,718,2778,1005,4045,32,0,8,3471.66666666667,1102073
"용산구","후암동",1021,1576,1412,1418,5427,928,3658,87,0,19,1359.27901234568,1103051
"용산구","용산2가동",575,982,920,816,3293,601,2070,50,0,28,637.924242424242,1103052
"용산구","남영동",365,595,586,455,2001,1619,20322,36,0,22,805.166666666667,1103053
"용산구","원효로2동",829,1027,976,1098,3930,958,6846,70,0,23,1613.81222222222,1103057
"용산구","효창동",646,929,900,959,3434,418,2182,63,0,17,1686.815,1103058
"용산구","용문동",778,1078,987,1036,3879,630,1789,64,0,17,1354.43518518519,1103059
"용산구","이촌1동",1533,1469,1548,2115,6665,812,3613,94,0,14,170,1103063
"용산구","이촌2동",428,537,676,794,2435,347,832,45,0,8,1830,1103064
"용산구","이태원1동",365,689,611,539,2204,1538,7006,36,0,16,1277.08333333333,1103065
"용산구","이태원2동",512,897,841,815,3065,720,2208,43,0,18,1858.13888888889,1103066
"용산구","서빙고동",924,878,714,808,3324,414,4683,36,0,22,2237.5,1103069
"용산구","보광동",842,1386,1089,1067,4384,840,2076,54,1,11,499.925925925926,1103070
"용산구","청파동",1836,2408,1775,1338,7357,1685,8542,108,1,22,1277.55531561462,1103071
"용산구","원효로1동",906,1552,1899,1796,6153,1758,10067,131,0,24,1506.82586206897,1103072
"용산구","한강로동",1183,1955,2170,1873,7181,4899,41427,137,0,47,3007.2962962963,1103073
"용산구","한남동",1014,1770,1954,2084,6822,2087,17919,121,0,36,1432.83333333333,1103074
"성동구","왕십리2동",1036,1462,1448,1494,5440,824,2757,110,0,13,1244.26451612903,1104052
"성동구","마장동",1954,2418,1746,1528,7646,3207,12056,109,0,29,1294.03998397436,1104054
"성동구","사근동",2363,2279,912,680,6234,1072,10842,72,2,36,1237.72211155378,1104055
"성동구","행당1동",964,1251,1137,1149,4501,1388,8651,75,0,31,1326.61935897436,1104056
"성동구","행당2동",1491,1536,1776,1937,6740,627,2050,129,0,28,751.159722222222,1104057
"성동구","응봉동",900,854,977,1277,4008,369,1028,63,0,28,1390.75135648808,1104058
"성동구","금호1가동",860,963,1189,1576,4588,567,2100,68,0,36,2926.80747126437,1104059
"성동구","금호4가동",612,895,1206,1598,4311,657,2026,85,0,18,1186.04166666667,1104062
"성동구","성수1가1동",1049,1506,1524,1380,5459,1792,10716,113,0,33,1551.29435483871,1104065
"성동구","성수1가2동",861,1292,1306,1171,4630,2877,21512,80,0,13,933.866666666667,1104066
"성동구","성수2가1동",911,1440,1364,1246,4961,2526,18394,82,0,30,1485.87719298246,1104067
"성동구","성수2가3동",747,1272,1046,921,3986,5805,53249,54,0,22,953.068452380952,1104068
"성동구","송정동",679,1034,840,801,3354,711,2709,52,0,15,1542.37301587302,1104069
